Go.	Va !
Tom works.	Tom est en train de travailler.
Tom's fat.	Tom est gros.
Tom's mad.	Tom est en colère.
Tom's mad.	Tom est fou.
Tom's sad.	Tom est triste.
Trust Tom.	Fais confiance à Tom.
Trust Tom.	Faites confiance à Tom.
Try again.	Essaie encore.
Try again.	Essayez de nouveau.
Try again.	Essaie de nouveau.
Try it on.	Essaie-le !
Turn left.	Tourne à gauche.
Wait here.	Attends ici.
Wait here.	Attends là.
Wait here.	Attendez ici.
Wait here.	Attendez là.
Watch out!	Attention !
Watch out!	Faites attention !
Watch out!	Fais attention !
We agreed.	Nous sommes tombés d'accord.
We did it!	Nous avons réussi !
We did it.	Nous avons réussi !
We did it.	Nous l'avons fait.
We forgot.	Nous avons oublié.
We saw it.	Nous l'avons vu.
We saw it.	Nous l'avons vue.
We smiled.	Nous avons souri.
We talked.	Nous discutâmes.
We talked.	Nous avons discuté.
We talked.	Nous nous sommes entretenus.
We talked.	Nous nous sommes entretenues.
We talked.	Nous nous entretînmes.
We waited.	Nous attendîmes.
We waited.	Nous avons attendu.
We'll try.	Nous essayerons.
We'll try.	Nous tenterons.
We'll win.	Nous l'emporterons.
We'll win.	Nous gagnerons.
We're hot.	Nous avons chaud.
We're sad.	Nous sommes tristes.
We're shy.	Nous sommes timides.
Well done!	Bien vu !
Well done!	Bien cuit !
Well done!	À la bonne heure !
Well done!	Bien joué !
Well done!	Pas mal !
What else?	Quoi d’autre ?
What's up?	Ça va ?
What's up?	Quoi de beau ?
Who cares?	Qui s'en préoccupe ?
Who cares?	Qui s'en soucie ?
Who cares?	À qui ceci importe-t-il ?
Who is he?	Qui est-ce ?
Who is he?	Qui est-il ?
Who is it?	Qui est-ce ?
